NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
64,경상남도 창원시 의창구 북동,2-3,0002,0003,성원큐브타운D동,78.7950,63.0651,202405,07,"18,300",1,개인,개인,2015,천주로36번길 44,-,중개거래,경남 창원시 의창구,24.09.19,다세대
65,경상남도 창원시 의창구 도계동,402-1,0402,0001,태백산빌라,70.2000,26.7000,202404,15,"11,000",3,개인,개인,1995,원이대로69번길 10-4,-,직거래,-,24.04.15,연립
66,경상남도 창원시 의창구 동정동,275-5,0275,0005,덕산세영파크2차,46.8800,38.0749,202404,15,"16,100",2,개인,개인,2014,서상로 39-8,-,중개거래,경남 창원시 의창구,24.05.21,다세대
67,경상남도 창원시 의창구 동읍 용잠리,208-1,0208,0001,프림빌,63.9420,58.8750,202404,05,"10,500",4,개인,법인,2013,의창대로915번길 17-18,-,중개거래,"경남 창원시의창구, 경남 창원시진해구",24.04.26,다세대
68,경상남도 창원시 의창구 동읍 단계리,292-5,0292,0005,동아바론하우스1,47.7664,52.9960,202404,01,"8,400",3,개인,개인,2011,자여로 133-3,-,중개거래,경남 창원시의창구,24.04.24,연립
69,경상남도 창원시 의창구 도계동,360-23,0360,0023,서원래온빌6차,74.4700,67.0062,202403,29,"12,000",4,개인,개인,2015,도계두리길 150,-,직거래,-,24.04.19,다세대
70,경상남도 창원시 의창구 동읍 용잠리,233-10,0233,0010,춘광파크맨션(233-10),56.1600,23.7400,202403,28,"4,100",5,개인,개인,1991,용잠로41번길 17-5,-,중개거래,경남 창원시의창구,24.07.30,다세대
71,경상남도 창원시 의창구 도계동,408-1,0408,0001,형제빌딩,77.1000,30.2300,202403,27,"20,200",4,기타,개인,2003,태복산로23번길 39,-,직거래,-,24.04.17,다세대
72,경상남도 창원시 의창구 도계동,408-1,0408,0001,형제빌딩,57.5100,22.5400,202403,27,"15,000",4,기타,개인,2003,태복산로23번길 39,-,직거래,-,24.04.17,다세대
73,경상남도 창원시 의창구 도계동,408-1,0408,0001,형제빌딩,57.5100,22.5400,202403,27,"15,000",4,기타,개인,2003,태복산로23번길 39,-,직거래,-,24.04.17,다세대
74,경상남도 창원시 의창구 도계동,323-4,0323,0004,금강백합빌라,76.3000,40.7570,202403,20,"11,000",4,개인,개인,1997,하남천서길15번길 6,-,직거래,-,24.03.21,연립
75,경상남도 창원시 의창구 도계동,327-3,0327,0003,강남빌리지,60.9100,252.2000,202403,14,"12,300",2,개인,개인,1996,도계로 35-10,-,중개거래,경남 창원시 의창구,24.04.24,다세대
76,경상남도 창원시 의창구 중동,629,0629,0000,영진블루빌(629-0),84.0400,62.9782,202403,14,"21,000",2,개인,개인,2011,천주로18번길 32-1,-,중개거래,경남 창원시성산구,24.03.29,다세대
77,경상남도 창원시 의창구 소답동,146-9,0146,0009,청송가든빌라,65.8800,37.4264,202403,13,"10,200",3,개인,개인,1995,의안로56번길 41,-,중개거래,경남 창원시의창구,24.04.11,다세대
78,경상남도 창원시 의창구 도계동,337-2,0337,0002,신동우빌라,80.8200,34.6260,202403,13,"14,500",4,개인,개인,1997,도계로18번길 16,-,중개거래,경남 창원시 의창구,24.04.03,연립
79,경상남도 창원시 의창구 소답동,141-23,0141,0023,동성이화빌라,66.2800,33.6070,202403,12,"9,500",4,개인,개인,2003,의안로12번길 39,-,중개거래,경남 창원시의창구,24.04.26,다세대
80,경상남도 창원시 의창구 도계동,404-1,0404,0001,서광데파트,84.9900,24.2000,202403,12,"7,200",4,개인,개인,1989,태복산로3번길 41,-,직거래,-,24.03.14,연립다세대
81,경상남도 창원시 의창구 동읍 용잠리,208-1,0208,0001,프림빌,63.9420,58.8750,202402,29,"9,500",3,개인,법인,2013,의창대로915번길 17-18,-,직거래,-,24.03.14,다세대
82,경상남도 창원시 의창구 동읍 용정리,150-6,0150,0006,헬리체자여,72.4093,56.9499,202402,29,"13,500",4,개인,개인,2018,자여로112번길 21,-,중개거래,경남 창원시의창구,24.05.03,연립
83,경상남도 창원시 의창구 도계동,337-1,0337,0001,성산빌라5차,57.4100,24.3530,202402,29,"10,500",2,개인,개인,1993,도계로18번길 10,-,중개거래,"경남 창원시성산구, 경남 창원시의창구",24.05.02,연립
84,경상남도 창원시 의창구 소답동,159-6,0159,0006,남양빌라6차,72.6900,38.6700,202402,24,"10,300",4,개인,개인,1995,의창대로299번길 6-18,-,중개거래,경남 창원시의창구,24.03.08,다세대
85,경상남도 창원시 의창구 소답동,142-22,0142,0022,영진블루빌A,68.4100,49.7300,202402,22,"13,500",4,개인,개인,2010,의창대로289번길 15-1,-,중개거래,경남 창원시의창구,24.05.17,다세대
86,경상남도 창원시 의창구 도계동,331-1,0331,0001,한일데파트,62.1400,25.4600,202402,19,"8,400",5,개인,개인,1991,도계로 12,-,중개거래,경남 창원시의창구,24.04.30,연립다세대
87,경상남도 창원시 의창구 서상동,396,0396,0000,썬빌,75.3200,61.9927,202402,19,"17,900",2,개인,개인,2011,서상로64번길 8,-,중개거래,경남 창원시의창구,24.03.28,다세대
88,경상남도 창원시 의창구 서상동,439,0439,0000,영진블루빌,84.9400,66.1905,202402,19,"21,000",4,개인,개인,2011,의안로27번길 31,-,중개거래,경남 창원시의창구,24.04.26,다세대
