시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원의창구 도계동,311-8,0311,0008,성진비아트,42.31,34.51,201701,12,"         8,000",3,1994,하남천서길9번길 21
경상남도 창원의창구 도계동,411-13,0411,0013,세종트윈빌라나,45.18,28.53,201610,12,"        10,200",1,2002,태복산로31번길 36
경상남도 창원의창구 도계동,411-13,0411,0013,세종트윈빌라나,32.18,20.32,201706,30,"         8,700",3,2002,태복산로31번길 36
경상남도 창원의창구 도계동,326-11,0326,0011,송백골든빌라,70.71,41.02,201609,24,"        16,300",3,1997,하남천서길5번길 9-3
경상남도 창원의창구 도계동,345-1,0345,0001,송백연산홍빌라,73.9575,43.45,201610,20,"        17,300",5,2004,도계로4번길 21-24
경상남도 창원의창구 도계동,345-1,0345,0001,송백연산홍빌라,73.9575,43.45,201610,24,"        17,300",2,2004,도계로4번길 21-24
경상남도 창원의창구 도계동,337-2,0337,0002,신동우빌라,80.82,74.76,201608,19,"        19,900",4,1997,도계로18번길 16
경상남도 창원의창구 도계동,312-18,0312,0018,아담한집(원창),65.1,44.58,201705,27,"        12,200",4,1996,하남천서길9번길 20-8
경상남도 창원의창구 도계동,327-8,0327,0008,아주빌라,48.11,28.23,201609,7,"        12,350",4,1996,하남천서길5번길 19
경상남도 창원의창구 도계동,318-3,0318,0003,아주빌라(318-3),67.33,43.45,201611,21,"        10,000",1,1998,도계두리길 108-3
경상남도 창원의창구 도계동,405-8,0405,0008,영신빌라1차,58.29,28.49,201611,5,"        15,000",3,1995,태복산로7번길 31
경상남도 창원의창구 도계동,327-11,0327,0011,일호하이파이데파트,78,30.11,201703,13,"        14,800",5,1991,도계로 41
경상남도 창원의창구 도계동,357-4,0357,0004,중앙상가빌라,56.94,23.03,201703,6,"        15,500",6,1995,도계로 63
경상남도 창원의창구 도계동,351-7,0351,0007,중원빌라,84.96,42.11,201610,11,"        12,000",4,1996,도계로60번길 13-13
경상남도 창원의창구 도계동,351-7,0351,0007,중원빌라,82.5,40.9,201611,30,"        16,000",2,1996,도계로60번길 13-13
경상남도 창원의창구 도계동,351-7,0351,0007,중원빌라,82.5,40.9,201702,27,"        16,000",4,1996,도계로60번길 13-13
경상남도 창원의창구 도계동,312-5,0312,0005,지명빌라,57.293,44.32,201706,5,"        12,000",2,1995,하남천서길15번길 21
경상남도 창원의창구 도계동,344-6,0344,0006,진보그린빌라(344-6),63.419,26.27,201607,28,"        14,400",2,1994,도계로50번길 17
경상남도 창원의창구 도계동,344-6,0344,0006,진보그린빌라(344-6),63.419,26.27,201612,9,"        13,200",3,1994,도계로50번길 17
경상남도 창원의창구 도계동,396-12,0396,0012,진보빌라,68.74,38.3,201704,15,"        14,300",2,1994,도계로83번길 13
경상남도 창원의창구 도계동,396-12,0396,0012,진보빌라,65.72,36.73,201704,26,"        13,300",3,1994,도계로83번길 13
경상남도 창원의창구 도계동,403-8,0403,0008,진한빌라2차,61.62,32.81,201609,21,"        15,000",2,1991,원이대로69번길 6-10
경상남도 창원의창구 도계동,403-8,0403,0008,진한빌라2차,61.62,32.81,201702,22,"        15,600",2,1991,원이대로69번길 6-10
