시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원마산합포구 가포동,508-7,0508,0007,건우주택,45.75,50.6,201806,12,"         4,000",3,1985,가포로 170
경상남도 창원마산합포구 교방동,372-1,0372,0001,가원빌라,69.33,60.65,201707,4,"        15,450",2,2004,교방북1길 14-6
경상남도 창원마산합포구 교방동,372-1,0372,0001,가원빌라,69.33,60.65,201707,26,"        13,550",3,2004,교방북1길 14-6
경상남도 창원마산합포구 교방동,359-5,0359,0005,대광,44.83,40.25,201803,21,"         8,900",2,1981,회원남25길 23
경상남도 창원마산합포구 교방동,359-4,0359,0004,동아,46.78,32.9,201805,5,"         8,500",3,1982,교방북2길 28
경상남도 창원마산합포구 교방동,365-1,0365,0001,럭키하이츠빌라,84.77,39.7,201803,29,"        16,000",1,1991,회원서10길 109
경상남도 창원마산합포구 교방동,365-5,0365,0005,무학파크뷰,66.15,43.83,201708,14,"        16,000",3,2016,회원서10길 109-1
경상남도 창원마산합포구 교방동,365-5,0365,0005,무학파크뷰,66.15,43.83,201708,14,"        16,000",4,2016,회원서10길 109-1
경상남도 창원마산합포구 교방동,365-5,0365,0005,무학파크뷰,66.15,43.83,201708,14,"        16,000",2,2016,회원서10길 109-1
경상남도 창원마산합포구 교방동,365-5,0365,0005,무학파크뷰,64.96,43.04,201708,14,"        16,000",4,2016,회원서10길 109-1
경상남도 창원마산합포구 교방동,365-5,0365,0005,무학파크뷰,64.96,43.04,201708,14,"        16,000",2,2016,회원서10길 109-1
경상남도 창원마산합포구 교방동,379-1,0379,0001,초원빌라,84.57,43.2,201801,29,"        13,000",3,1991,교방서5길 57
경상남도 창원마산합포구 교원동,3-5,0003,0005,무학상가아파트,58.76,7.4,201707,26,"         7,590",2,1979,회원천남길 128
경상남도 창원마산합포구 대성동2가,4-37,0004,0037,신안빌라,69.671,46.43,201803,6,"        10,500",4,2004,중앙서1길 37-1
경상남도 창원마산합포구 문화동,12-3,0012,0003,대주빌라맨션,152.18,166.67,201806,22,"        27,000",3,1989,고운로 51-1
경상남도 창원마산합포구 문화동,14-50,0014,0050,동원국민주택,47.7,48.16,201708,23,"         5,950",2,1983,문화서7길 28
경상남도 창원마산합포구 반월동,57-1,0057,0001,동명빌라,30.4,18.45,201806,21,"         5,000",2,1995,반월남1길 48
경상남도 창원마산합포구 반월동,85-5,0085,0005,신흥프라자,91.34,27.3,201708,2,"        15,000",3,1995,반월남1길 12
경상남도 창원마산합포구 산호동,211-11,0211,0011,(211-11),50.73,45.85,201805,10,"         3,500",1,1979,산호동4길 17-1
경상남도 창원마산합포구 산호동,26-59,0026,0059,(26-59),76.54,30.33,201707,21,"         7,500",4,1991,산호북16길 15
경상남도 창원마산합포구 산호동,31-12,0031,0012,(31-12),128.58,71.68,201804,25,"        14,900",3,2002,산호북14길 11
경상남도 창원마산합포구 산호동,31-12,0031,0012,(31-12),22.68,12.64,201804,25,"         3,200",2,2002,산호북14길 11
경상남도 창원마산합포구 산호동,31-12,0031,0012,(31-12),46.86,26.12,201804,25,"         6,700",2,2002,산호북14길 11
경상남도 창원마산합포구 산호동,31-12,0031,0012,(31-12),46.86,26.12,201804,25,"         6,100",1,2002,산호북14길 11
경상남도 창원마산합포구 산호동,31-12,0031,0012,(31-12),22.68,12.64,201804,25,"         2,900",1,2002,산호북14길 11
경상남도 창원마산합포구 산호동,28-18,0028,0018,L.K 드림빌,61.15,42.38,201707,19,"        18,500",4,2017,산호시장길 40
경상남도 창원마산합포구 산호동,28-18,0028,0018,L.K 드림빌,61.15,42.38,201805,25,"        18,720",4,2017,산호시장길 40
경상남도 창원마산합포구 산호동,28-18,0028,0018,L.K 드림빌,54.39,37.7,201806,8,"        19,000",5,2017,산호시장길 40
경상남도 창원마산합포구 산호동,461-3,0461,0003,대양파크상가맨션,108.83,38.33,201710,11,"        12,700",5,1991,합포남2길 38
경상남도 창원마산합포구 산호동,52-5,0052,0005,신흥그린빌라2,75.29,49.41,201803,16,"        12,900",3,2001,산호서7길 26
경상남도 창원마산합포구 산호동,51-5,0051,0005,신흥그린빌라3,73.295,39.91,201711,27,"        15,500",2,2002,산호서7길 31
경상남도 창원마산합포구 산호동,51-5,0051,0005,신흥그린빌라3,73.295,39.91,201805,25,"        13,000",1,2002,산호서7길 31
경상남도 창원마산합포구 산호동,532-38,0532,0038,재민숲속빌,59.5965,53.14,201712,8,"        11,400",1,2008,산호남8길 90
경상남도 창원마산합포구 산호동,31-11,0031,0011,플러스빌,72.15,55.03,201708,17,"        13,250",4,2002,산호북14길 11
경상남도 창원마산합포구 산호동,532-33,0532,0033,화이트빌2,59.93,43.48,201804,30,"        13,500",4,2006,산호남8길 52
경상남도 창원마산합포구 상남동,42-3,0042,0003,(42-3),39.54,37,201711,20,"         6,000",1,1982,노산북4길 10
경상남도 창원마산합포구 상남동,41-5,0041,0005,예원시티빌,56.6067,44.74,201802,5,"        16,000",4,2012,상남시장로 11
경상남도 창원마산합포구 서성동,83-62,0083,0062,서성,49.35,32.67,201711,13,"         4,000",2,1983,동서남2길 17
경상남도 창원마산합포구 신흥동,2-6,0002,0006,상우다솜씨,74.76,53.38,201711,15,"        19,500",3,2013,중앙남4길 79
경상남도 창원마산합포구 예곡동,43,0043,0000,예솔빌리지,81.02,73.69,201801,30,"        20,000",2,2013,예곡길 33-14
경상남도 창원마산합포구 예곡동,43,0043,0000,예솔빌리지,81.02,73.69,201801,31,"        20,000",1,2013,예곡길 33-14
경상남도 창원마산합포구 예곡동,43,0043,0000,예솔빌리지,81.02,73.69,201802,20,"        20,700",3,2013,예곡길 33-14
