시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명
경상남도 창원진해구 가주동,361,0361,0000,성신그린빌리지,75.58,63.14,201710,26,"         5,500",4,1997,가주로 72
경상남도 창원진해구 경화동,1136-11,1136,0011,(1136-11),49.59,50.65,201711,10,"         4,500",1,1979,진해대로614번길 12-8
경상남도 창원진해구 경화동,1163-1,1163,0001,경동황토방빌라,37.51,17.33,201707,19,"         5,000",3,1998,중초로23번길 3-1
경상남도 창원진해구 경화동,1461,1461,0000,경화(1461),65.95,92,201708,28,"         5,700",2,1979,조천북로80번길 24-3
경상남도 창원진해구 경화동,1144-9,1144,0009,광성주택,55.42,46.2,201709,8,"         8,400",3,1990,충장로249번길 25
경상남도 창원진해구 경화동,1501-2,1501,0002,남성파크B,52.95,42.74,201708,16,"         6,200",1,1994,조천로23번길 40
경상남도 창원진해구 경화동,1501-2,1501,0002,남성파크B,52.95,42.73,201709,7,"         5,200",4,1994,조천로23번길 40
경상남도 창원진해구 경화동,922-23,0922,0023,뉴경화빌라,48.785,29.6,201709,2,"         5,775",2,1993,충장로337번길 34
경상남도 창원진해구 경화동,922-23,0922,0023,뉴경화빌라,48.785,29.6,201709,2,"         5,225",1,1993,충장로337번길 34
경상남도 창원진해구 경화동,1274-1,1274,0001,대성나동,35.27,27.28,201712,11,"         3,800",2,1982,조천로31번길 6
경상남도 창원진해구 경화동,1274-1,1274,0001,대성나동,35.27,27.28,201802,25,"         3,350",1,1982,조천로31번길 6
경상남도 창원진해구 경화동,1274-1,1274,0001,대성나동,35.27,27.28,201806,6,"         3,350",1,1982,조천로31번길 6
경상남도 창원진해구 경화동,1300-1,1300,0001,동신빌라,82.74,61.56,201801,21,"         8,700",1,1994,조천로 33
경상남도 창원진해구 경화동,969-7,0969,0007,부광,58.44,24.93,201804,6,"         8,000",4,1985,충장로 367
경상남도 창원진해구 경화동,1161-4,1161,0004,삼양그린파크,70.8,47.11,201801,23,"         8,500",3,1996,충장로249번길 5-1
경상남도 창원진해구 경화동,744-4,0744,0004,성해상가,73.44,31.9,201803,30,"         7,000",5,1996,경화로37번길 2
경상남도 창원진해구 경화동,1475-2,1475,0002,성호타워빌라,55.55,35.74,201712,22,"         5,000",3,1993,조천북로80번길 10
경상남도 창원진해구 경화동,1237,1237,0000,썬라이즈빌라,78,48.75,201710,27,"        13,500",2,2003,조천로13번길 10
경상남도 창원진해구 경화동,1199-5,1199,0005,우진그린빌라,75.33,31.7,201806,29,"         8,000",4,1995,진해대로 640
경상남도 창원진해구 경화동,1280,1280,0000,유일전원빌라101,58.76,49,201707,21,"         8,200",3,1995,조천로35번길 16
경상남도 창원진해구 경화동,1280-8,1280,0008,유일전원빌라102,84.93,60.92,201710,25,"        10,800",1,1995,조천북로98번길 5
경상남도 창원진해구 경화동,1280-2,1280,0002,유일전원빌라106,84.65,65.11,201802,7,"        14,000",3,1995,조천북로98번길 10
경상남도 창원진해구 경화동,1433-2,1433,0002,유일전원빌라107,120.25,86.53,201803,5,"        15,600",2,1995,조천로35번길 22
경상남도 창원진해구 경화동,1164-1,1164,0001,중부상가,50.84,6.6,201803,23,"         4,200",3,1980,중초로 20
경상남도 창원진해구 경화동,1148-7,1148,0007,중초(1148-7),67.77,41,201712,28,"         4,500",1,1979,중초로29번길 3
경상남도 창원진해구 경화동,1172-22,1172,0022,진양A,64.95,67.67,201708,7,"         7,400",2,1984,충장로235번길 6-1
경상남도 창원진해구 경화동,1172-22,1172,0022,진양A,64.95,67.67,201709,13,"         7,500",2,1984,충장로235번길 6-1
경상남도 창원진해구 경화동,1172-64,1172,0064,진양B,48.64,48.59,201708,1,"         5,500",3,1984,충장로235번길 6
경상남도 창원진해구 경화동,1155-30,1155,0030,진양맨션,71.1,50.81,201802,6,"         5,500",3,1985,태백로 15-6
경상남도 창원진해구 경화동,1153-3,1153,0003,진양빌라,71.25,49.35,201709,27,"         6,200",1,1989,경화로29번길 29
경상남도 창원진해구 경화동,1227-11,1227,0011,행복빌라가동,70.71,47.25,201708,21,"        10,800",2,1993,조천로 17
경상남도 창원진해구 경화동,823,0823,0000,협진빌라,66.97,38.74,201712,8,"         6,700",4,2001,경화시장로 53-4
경상남도 창원진해구 경화동,823,0823,0000,협진빌라,66.97,38.74,201801,19,"         7,000",4,2001,경화시장로 53-4
경상남도 창원진해구 경화동,1154-44,1154,0044,혜성빌라(1154-44),69.06,54.2,201709,28,"         6,900",3,1992,경화로25번길 23
경상남도 창원진해구 경화동,838,0838,0000,혜성빌라(838),65.85,68,201801,2,"         5,500",1,1990,조천북로154번길 7-1
경상남도 창원진해구 근화동,23-3,0023,0003,보문빌딩,56.16,18.36,201707,26,"         6,000",5,1995,백구로 13
경상남도 창원진해구 대죽동,15-161,0015,0161,성호,44.37,49.57,201707,18,"         4,500",1,1991,속천로84번길 3
경상남도 창원진해구 대죽동,32-99,0032,0099,유림골든빌,62.8205,43.38,201711,15,"        13,900",4,2014,태평로48번길 24
경상남도 창원진해구 덕산동,14-39,0014,0039,덕산그린빌라,67.83,31.13,201803,2,"         7,500",2,1992,충장로481번길 14
경상남도 창원진해구 덕산동,57-37,0057,0037,은하덕산원룸,32.58,13.8,201804,1,"         2,100",3,2001,동진로 136-22
경상남도 창원진해구 마천동,145-48,0145,0048,드림시티빌2,24.1369,20.31,201712,15,"         5,500",4,2012,마천로 47
경상남도 창원진해구 마천동,144-18,0144,0018,청호빌라,77.01,41.75,201707,26,"         5,000",1,1997,마천로 39
경상남도 창원진해구 마천동,83,0083,0000,초석빌라,67.21,51.97,201804,13,"        10,500",4,2012,마천로10번길 7
