□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,
,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,
□ 검색조건,,,,,,,,,,
계약일자 : 20150701 ~ 20160630,,,,,,,,,,
실거래 구분 : 단독다가구(매매),,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,
시군구 : 창원마산합포구,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,
면적 : 전체,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,
,,,,,,,,,,
시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원마산합포구 교방동,3**,단독,12m미만,228.6,144,201606,24,"        37,500",2001,교방동1길
경상남도 창원마산합포구 교방동,1**,단독,12m미만,119.76,149,201508,12,"        22,700",1984,교방동16길
경상남도 창원마산합포구 교방동,3**,단독,8m미만,76.35,152.3,201510,26,"        15,200",1983,교방시장3길
경상남도 창원마산합포구 교방동,3**,단독,12m미만,295.5,152.4,201508,6,"        33,600",1989,교방서2길
경상남도 창원마산합포구 교방동,3**,단독,12m미만,122.31,186.1,201603,22,"        19,500",1986,교방서5길
경상남도 창원마산합포구 교방동,3**,단독,12m미만,172.35,243.6,201510,20,"        18,000",1981,교방서2길
경상남도 창원마산합포구 교원동,2*,단독,8m미만,66.84,53,201606,22,"         4,100",1979,노산서19길
경상남도 창원마산합포구 교원동,8*,단독,8m미만,74.94,69,201604,1,"         9,000",1979,교방천북길
경상남도 창원마산합포구 교원동,1*,단독,8m미만,17.95,74,201605,10,"         8,700",1991,노산서23길
경상남도 창원마산합포구 교원동,*,단독,8m미만,57.25,83,201509,30,"        10,050",1980,회원천남길
경상남도 창원마산합포구 교원동,7*,단독,8m미만,55.47,93,201511,13,"         7,050",1967,노산남8길
경상남도 창원마산합포구 교원동,2*,단독,8m미만,106.2,99,201510,12,"        15,000",1993,회원천남길
경상남도 창원마산합포구 교원동,1*,단독,8m미만,101.68,100,201603,8,"        11,000",1978,노산서23길
