□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,
,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,
□ 검색조건,,,,,,,,,,
계약일자 : 20190701 ~ 20200630,,,,,,,,,,
실거래 구분 : 단독다가구(매매),,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,
시군구 : 창원의창구,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,
면적 : 전체,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,
,,,,,,,,,,
시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원의창구 대원동,2*,단독,12m미만,72.23,181.4,202003,14,"        48,500",1978,대원로52번길
경상남도 창원의창구 대원동,3*,단독,8m미만,72.23,182.1,202001,17,"        49,026",2007,대원로57번길
경상남도 창원의창구 대원동,3*,단독,8m미만,72.23,182.1,201911,28,"        42,000",1978,대원로53번길
경상남도 창원의창구 대원동,2*,단독,8m미만,72.12,183.2,202004,6,"        42,752",2007,대원로56번길
경상남도 창원의창구 대원동,2*,단독,12m미만,72.23,183.8,202003,13,"        44,880",2007,대원로52번길
경상남도 창원의창구 대원동,3*,단독,8m미만,72.12,183.9,202003,27,"        48,890",1979,대원로57번길
경상남도 창원의창구 대원동,1*,단독,12m미만,72.12,185,201910,23,"        40,000",1979,대원로52번길
경상남도 창원의창구 대원동,*,단독,12m미만,125.54,185,202001,17,"        59,800",1989,대원로104번길
경상남도 창원의창구 대원동,1*,단독,8m미만,72.23,186,202004,8,"        43,429",2007,대원로52번가길
경상남도 창원의창구 대원동,1*,단독,12m미만,72.23,186.5,202005,12,"        45,911",1978,대원로104번길
경상남도 창원의창구 대원동,*,단독,8m미만,110.72,187.3,202003,19,"        48,082",1999,대원로82번길
경상남도 창원의창구 대원동,*,단독,8m미만,63.4,187.4,202003,24,"        46,126",2007,대원로86번길
경상남도 창원의창구 대원동,3*,단독,8m미만,72.23,187.7,202003,13,"        44,907",2007,대원로53번길
경상남도 창원의창구 대원동,2*,단독,12m미만,63.4,188.8,202006,9,"        51,310",1978,대원로52번길
