□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,
,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다.,,,,,,,,,,
□ 검색조건,,,,,,,,,,
계약일자 : 20150701 ~ 20160630,,,,,,,,,,
실거래 구분 : 단독다가구(매매),,,,,,,,,,
주소구분 : 지번주소,,,,,,,,,,
시도 : 경상남도,,,,,,,,,,
시군구 : 창원성산구,,,,,,,,,,
읍면동 : 전체,,,,,,,,,,
면적 : 전체,,,,,,,,,,
금액선택 : 전체,,,,,,,,,,
,,,,,,,,,,
시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명
경상남도 창원성산구 반지동,4*,다가구,12m미만,243.29,255.4,201509,2,"        66,000",2015,충혼로201번길
경상남도 창원성산구 반지동,4*,다가구,12m미만,244.46,257.3,201601,5,"        69,500",2015,반송로29번길
경상남도 창원성산구 반지동,4*,다가구,12m미만,247.32,261.1,201512,13,"        58,000",2010,충혼로175번길
경상남도 창원성산구 반지동,3*,다가구,25m미만,171.81,275.1,201603,10,"        60,000",1994,반송로
경상남도 창원성산구 반지동,3*,다가구,25m미만,250.84,277.1,201606,25,"        75,000",2015,반지로
경상남도 창원성산구 반지동,7*,단독,12m미만,177.25,211.8,201511,8,"        44,000",1988,원이대로393번길
경상남도 창원성산구 반지동,6*,단독,12m미만,162.3,214.7,201509,11,"        40,000",1983,원이대로393번길
경상남도 창원성산구 반지동,7*,단독,12m미만,94.38,216.8,201510,28,"        38,200",1984,반송로42번길
경상남도 창원성산구 반지동,1**,단독,12m미만,162.56,219.1,201508,31,"        33,000",1987,창원천로138번길
경상남도 창원성산구 반지동,8*,단독,12m미만,196.19,219.5,201509,22,"        50,000",2002,반송로42번길
경상남도 창원성산구 반지동,6*,단독,12m미만,206.69,223.1,201512,15,"        38,500",1983,
경상남도 창원성산구 반지동,8*,단독,12m미만,223.04,223.9,201507,27,"        66,000",2014,창원천로188번길
경상남도 창원성산구 반지동,8*,단독,12m미만,140.43,228.4,201604,14,"        35,000",1985,
경상남도 창원성산구 반지동,7*,단독,12m미만,189.77,228.9,201509,25,"        42,000",1989,반송로42번길
경상남도 창원성산구 반지동,7*,단독,12m미만,221.28,229.1,201508,1,"        59,500",2009,반송로42번길
경상남도 창원성산구 반지동,1**,단독,25m미만,186.58,230.3,201512,15,"        50,000",1982,반송로
경상남도 창원성산구 반지동,1**,단독,12m미만,214.99,230.8,201512,12,"        60,000",2010,창원천로188번길
경상남도 창원성산구 반지동,7*,단독,12m미만,188.34,231.1,201510,8,"        42,500",1988,반송로42번길
경상남도 창원성산구 반지동,1**,단독,12m미만,164.08,231.2,201511,3,"        46,000",1987,창원천로138번길
경상남도 창원성산구 반지동,7*,단독,8m미만,230.62,232.9,201603,16,"        74,700",2014,반지로4번길
경상남도 창원성산구 반지동,2*,단독,12m미만,164.35,237.3,201512,30,"        40,000",1988,창원천로238번길
경상남도 창원성산구 반지동,9*,단독,12m미만,163.48,238.9,201603,30,"        41,000",1988,창원천로174번길
경상남도 창원성산구 반지동,6*,단독,8m미만,166.56,241.6,201507,6,"        44,300",1988,반지로4번길
경상남도 창원성산구 반지동,3*,단독,12m미만,164.78,244.4,201603,4,"        40,500",1987,
경상남도 창원성산구 반지동,6*,단독,12m미만,163.62,245.7,201508,14,"        44,200",1987,반지로32번길
경상남도 창원성산구 반지동,9*,단독,12m미만,209.97,249.3,201508,31,"        41,000",1987,창원천로196번길
경상남도 창원성산구 반지동,3*,단독,25m미만,181.28,250.1,201606,16,"        47,500",1985,반지로
경상남도 창원성산구 반지동,3*,단독,25m미만,309.05,252.7,201602,4,"        46,000",1991,반지로
경상남도 창원성산구 반지동,4*,단독,25m미만,228.52,253.5,201510,16,"       106,000",2012,반송로
경상남도 창원성산구 반지동,4*,단독,25m미만,233.8,257.7,201605,25,"        83,000",2014,반지로
경상남도 창원성산구 반지동,4*,단독,12m미만,140.04,257.8,201511,6,"        40,500",1980,반송로29번길
경상남도 창원성산구 반지동,2*,단독,12m미만,199.7,257.9,201512,5,"        40,250",1989,창원천로242번길
경상남도 창원성산구 반지동,5*,단독,25m미만,381.95,267,201601,30,"       108,000",2015,반송로
경상남도 창원성산구 반지동,3*,단독,12m미만,253.18,269.2,201511,2,"        52,000",2004,반송로29번길
경상남도 창원성산구 반지동,8*,단독,25m미만,163.6,271,201511,13,"        57,900",1987,반지로
경상남도 창원성산구 반지동,5*,단독,12m미만,256.59,272.8,201510,12,"        59,500",2004,반송로81번길
경상남도 창원성산구 반지동,8*,단독,25m미만,250.8,273.6,201508,21,"        73,000",2008,반지로
경상남도 창원성산구 사파동,5*,다가구,12m미만,237.81,218.4,201507,7,"        45,000",1996,비음로91번길
경상남도 창원성산구 사파동,1**,다가구,12m미만,311.73,231.7,201509,21,"        44,300",1991,동산로176번길
경상남도 창원성산구 사파동,1**,다가구,12m미만,233.1,240.6,201602,11,"        72,000",2012,동산로178번길
경상남도 창원성산구 사파동,3*,다가구,12m미만,219.6,243.8,201604,23,"        58,000",2006,비음로27번길
경상남도 창원성산구 사파동,2*,다가구,12m미만,234.4,244.2,201510,9,"        59,000",2005,비음로14번길
경상남도 창원성산구 사파동,1**,다가구,12m미만,242.78,244.6,201507,25,"        70,500",2014,창이대로684번길
경상남도 창원성산구 사파동,2*,다가구,12m미만,219.35,244.7,201603,31,"        72,000",2009,비음로14번길
경상남도 창원성산구 사파동,3*,다가구,12m미만,221.2,248.3,201508,7,"        60,000",2009,비음로27번길
경상남도 창원성산구 사파동,6*,다가구,12m미만,223.69,248.3,201605,16,"        46,000",1996,창이대로695번길
경상남도 창원성산구 사파동,3*,다가구,12m미만,234.65,249.4,201509,11,"        51,500",2007,비음로45번길
경상남도 창원성산구 사파동,1**,다가구,12m미만,370.89,253.4,201603,3,"        67,800",2002,동산로192번길
경상남도 창원성산구 사파동,8*,다가구,12m미만,348.62,253.6,201604,7,"        55,500",1996,창이대로689번길
경상남도 창원성산구 사파동,7*,다가구,12m미만,228.63,254.1,201604,29,"        51,500",1996,창이대로707번길
