edited_address,lng,lat
가음동 가양로52번길,128.701434677621,35.2056112473538
가음동 가음로92번길,128.701989536521,35.2038448995433
가음정로23번길,128.688616230903,35.2110934281828
가음정로11번길,128.686365223556,35.2111139954395
가음동 가양로34번길,128.700328805065,35.2043816621866
가음동 가음로64번길,128.701699676536,35.2070130624675
가음동 가양로,128.700328805065,35.2043816621866
삼귀로,128.601552722077,35.1628436141988
귀산동 삼귀로466번길,128.609844106997,35.1575220094177
귀산동 귀산로60번길,128.616247441925,35.166842321122
남양동 가음로57번길,128.703810424595,35.2084100890501
남양동 가음로101번길,128.704771117608,35.2051747993369
대방동 대암로101번길,128.707133988332,35.216415812924
대방동 대암로115번길,128.709244286908,35.2156855146112
대방동 대암로105번길,128.708267120919,35.216360261892
대방동 대암로145번길,128.710575334356,35.2130727408431
대방동 대암로171번길,128.711333644724,35.2129185481209
반지동 반송로81번길,128.665617772878,35.2411644616941
반지동 창원천로214번길,128.662187654984,35.2436068017444
반지동 창원천로206번길,128.661260843045,35.2434628082739
반지동 창원천로148번길,128.655746586482,35.2422732594538
반지동 창원천로196번길,128.660637905705,35.2415418479564
반지동 창원천로188번길,128.659587788289,35.2422241498287
반지동 반송로,128.666761861876,35.2385393171584
반지동 반송로82번길,128.664736466207,35.2380272783885
반지동 반송로42번길,128.660620215058,35.2399577459225
반지동 창원천로162번길,128.656759120653,35.2418478122157
반지동 반지로,128.661595334901,35.2418954103204
반지동 충혼로201번길,128.66450760257,35.2416419741
반지동 반송로29번길,128.662943025225,35.2432577442014
반지동 충혼로175번길,128.663890150387,35.2407022033357
반지동 원이대로393번길,128.662538400396,35.2389351068887
반지동 창원천로138번길,128.655609046693,35.2414733254696
반지동 반지로4번길,128.661823442795,35.23789275353
반지동 창원천로238번길,128.664506264605,35.2445593289167
반지동 창원천로174번길,128.658088927876,35.2422117140372
반지동 반지로32번길,128.663147169171,35.2399944161828
반지동 창원천로242번길,128.6650419703,35.244228690863
비음로91번길,128.703187560497,35.2261825550043
사파동 동산로176번길,128.696853322064,35.221508874993
사파동 동산로178번길,128.69569198323,35.2225246017335
비음로27번길,128.701586893911,35.2306157997689
사파동 비음로14번길,128.698353203607,35.2285499479924
사파동 창이대로684번길,128.69823383089,35.2227643729418
사파동 창이대로695번길,128.70222522898,35.2234853278722
사파동 비음로45번길,128.702121848484,35.2293828944004
사파동 동산로192번길,128.696934510193,35.223372084058
사파동 창이대로689번길,128.701752556463,35.2237965861854
사파동 창이대로707번길,128.702526761772,35.2222895887641
비음로55번길,128.703157135432,35.2288464346618
사파동 창이대로639번길,128.69887632775,35.2277961282465
사파동 비음로,128.698063064393,35.2271711035608
비음로67번길,128.702495398985,35.2270965738297
사파동 비음로4번길,128.698063064393,35.2271711035608
사파동 창이대로648번길,128.696233474791,35.2245058190285
사파동 창이대로706번길,128.699231550587,35.2210661751493
사파동 동산로200번길,128.697470723402,35.2240594925317
사파동 창이대로729번길,128.703615794486,35.2202936614998
사파동 신사로,128.697766634372,35.2201917351561
사파동 비음로24번길,128.700629142133,35.2272121245365
사파동 창이대로690번길,128.698255701239,35.2222433430574
상남동 동산로73번길,128.684854008044,35.2176753731208
동산로55번길,128.684357869243,35.2159970880731
상남동 동산로61번길,128.684794380214,35.2162463282368
상남동 단정로58번길,128.685780585908,35.2178523579583
상남동 동산로65번길,128.684923831686,35.2166596279647
상남동 동산로54번길,128.687946034167,35.2144971295133
상남동 동산로,128.690138198679,35.2186253026766
상남동 동산로48번길,128.690860173568,35.2133531826502
상남동 토월로,128.679151241425,35.215255990856
성주동 삼정자로33번길,128.709402752524,35.1989455144038
창원대로1137번길,128.7099577792,35.1964797836009
성주동 삼정자로52번길,128.711962875588,35.1968671779882
삼정자로63번길,128.712906983125,35.2014846397644
성주동 삼정자로51번길,128.711537980732,35.1992214892038
안민동 안민안길27번길,128.691209945545,35.1875932985866
안민동 안민로117번길,128.68987891238,35.1871970502521
중앙동 외동반림로46번길,128.673921203644,35.223065416019
중앙동 외동반림로40번길,128.673783715564,35.2227025035199
중앙동 외동반림로134번길,128.674863875145,35.2291958996409
중앙동 외동반림로20번길,128.674738882088,35.2241352977136
중앙동 외동반림로130번길,128.674909452987,35.2287255532627
중앙동 외동반림로38번길,128.67352769217,35.2224020623502
중앙동 외동반림로138번길,128.674787647013,35.229681990891
중앙동 외동반림로80번길,128.675210526679,35.2257882765436
중앙동 원이대로538번길,128.67357880181,35.2293077655162
중앙동 용지로113번길,128.67763553446,35.2270720871375
중앙동 외동반림로54번길,128.674379507224,35.2236907415932
중앙동 용지로111번길,128.677814891341,35.2261387312367
중앙동 외동반림로6번길,128.675931722094,35.2233503149334
용지로21번길,128.672070717613,35.2198525489842
중앙동 외동반림로74번길,128.675265889519,35.2251903619042
가주동 가주로,128.835611368947,35.1150914567156
경화동 중초로,128.68124407728,35.1553403061673
경화동 충장로363번길,128.691652950624,35.1556780799592
경화동 조천북로146번길,128.687941220006,35.1606735425274
경화동 경화로26번길,128.688336166776,35.1558462931817
경화동 진해대로650번길,128.687091625045,35.1580712806628
경화동 경화시장로,128.690681262271,35.1565856638594
경화동 경화로37번길,128.683646421306,35.156646162475
경화동 충장로329번길,128.687970757216,35.1551881727292
경화동 충장로273번길,128.681808981716,35.1554836900587
경화동 조천북로,128.680291341171,35.1591435523064
경화동 충장로235번길,128.677784822121,35.1546685499345
경화동 진해대로,128.679426667763,35.1575299991014
경화동 태백로,128.676980304364,35.1542541304803
경화동 경화로18번길,128.688495932994,35.155160935818
