□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2024-01-01 ~ 2024-12-31,,,,실거래 구분 : 연립다세대(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 진해구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
19,경상남도 창원시 진해구 경화동,1148-22,1148,0022,중초(1148-22),43.1700,42.6000,202411,11,"5,300",1,개인,개인,1980,중초로23번길 10-8,-,중개거래,경남 창원시 성산구,-,연립다세대
20,경상남도 창원시 진해구 여좌동,93-1,0093,0001,녹원빌라,42.1700,22.1700,202411,05,"1,200",2,개인,개인,1993,여좌천로 78,-,직거래,-,24.11.08,연립
21,경상남도 창원시 진해구 자은동,936-2,0936,0002,유일궁전빌라,66.5700,34.0000,202411,05,"7,200",3,개인,개인,1993,진해대로901번길 6-3,-,중개거래,경남 창원시 진해구,-,연립다세대
22,경상남도 창원시 진해구 경화동,1199-5,1199,0005,우진그린빌라,64.0960,27.1000,202411,03,"4,300",4,개인,개인,1995,진해대로 640,-,직거래,-,-,연립
23,경상남도 창원시 진해구 석동,660,0660,0000,벚꽃그린빌2단지,59.8300,95.7700,202410,31,"19,000",3,개인,개인,2003,냉천로107번길 14,-,중개거래,경남 창원시 진해구,24.12.09,연립
24,경상남도 창원시 진해구 풍호동,762-3,0762,0003,덕산,58.5600,63.0000,202410,28,"4,500",2,개인,개인,1984,충장로511번길 18,-,직거래,-,24.10.30,다세대
25,경상남도 창원시 진해구 경화동,780-21,0780,0021,신대동파크맨션B동,87.5100,54.3200,202410,26,"6,000",4,개인,개인,2000,병암북로8번길 11,-,중개거래,경남 창원시 진해구,24.12.13,다세대
26,경상남도 창원시 진해구 자은동,947-16,0947,0016,"혜성빌라A,B",49.2300,23.7700,202410,23,"8,000",2,개인,개인,1991,진해대로913번길 16,-,직거래,-,24.11.08,다세대
27,경상남도 창원시 진해구 이동,279-1,0279,0001,태강빌라,81.5400,58.0000,202410,22,"8,000",2,개인,개인,1998,충장로407번길 9-24,-,중개거래,경남 창원시 진해구,24.12.10,다세대
28,경상남도 창원시 진해구 경화동,1495,1495,0000,유일하이츠빌라A,70.8000,45.5000,202410,19,"6,500",1,개인,개인,1991,조천로7번길 24-5,-,중개거래,경남 창원시 진해구,24.10.31,연립
29,경상남도 창원시 진해구 경화동,1148-7,1148,0007,중초(1148-7),67.7700,41.0000,202410,18,"5,950",2,개인,개인,1979,중초로29번길 3,-,중개거래,경남 창원시 진해구,24.11.28,연립다세대
30,경상남도 창원시 진해구 이동,508-6,0508,0006,일성빌라나동,68.7300,44.5600,202410,17,"9,500",2,개인,개인,1992,병암로30번길 5-5,-,중개거래,경남 창원시 진해구,24.12.02,연립
31,경상남도 창원시 진해구 석동,268-12,0268,0012,제일원룸가동,30.1000,14.4470,202410,16,"3,200",1,개인,개인,2001,진해대로802번길 31,-,직거래,-,24.10.21,연립다세대
32,경상남도 창원시 진해구 경화동,1164-1,1164,0001,중부상가,50.8400,6.6000,202410,15,"4,000",3,개인,개인,1980,중초로 20,-,직거래,-,24.11.18,연립다세대
33,경상남도 창원시 진해구 자은동,977-1,0977,0001,대동빌라트2단지,76.2300,97.7305,202410,13,"15,700",4,개인,개인,1996,냉천로108번길 5-16,-,중개거래,경남 창원시 진해구,24.12.05,연립
34,경상남도 창원시 진해구 석동,659,0659,0000,벚꽃그린빌4단지,84.9600,127.1800,202410,11,"28,500",3,개인,개인,2003,석동로 80,-,직거래,-,24.10.15,연립
35,경상남도 창원시 진해구 석동,659,0659,0000,벚꽃그린빌4단지,59.8300,90.1500,202410,09,"19,000",2,개인,개인,2003,석동로 80,-,중개거래,"경남 창원시 성산구, 경남 창원시 진해구",-,연립
