□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)",,,,,,,,,,,,,,,,,,,,
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
□ 검색조건,,,,,,,,,,,,,,,,,,,,
계약일자 : 2022-01-01 ~ 2022-12-31,,,,실거래 구분 : 연립다세대(매매),,,,,주소구분 : 지번 주소,,,,,,,,,,,
시도 : 경상남도,,,,시군구 : 창원시 마산회원구,,,,,읍면동 : 전체,,,,,,,,,,,
단지명 : 전체,,,,면적 : 전체,,,,,금액선택 : 전체,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NO,시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자,주택유형
118,경상남도 창원시 마산회원구 회원동,658-2,0658,0002,연지국민주택,51.9000,35.5680,202203,24,"7,500",2,-,-,1983,회원남33길 34,-,직거래,-,-,연립
119,경상남도 창원시 마산회원구 양덕동,62-17,0062,0017,중앙국민주택,43.2900,36.4790,202203,24,"6,950",3,-,-,1986,양덕남5길 16,-,중개거래,경남 창원마산회원구,-,연립
120,경상남도 창원시 마산회원구 양덕동,150-20,0150,0020,수산,56.6300,31.5933,202203,23,"8,000",1,-,-,1977,양덕남8길 12,-,직거래,-,-,연립다세대
121,경상남도 창원시 마산회원구 회원동,645-12,0645,0012,78화란주택19동,39.6700,54.1250,202203,23,"4,800",2,-,-,1989,회원서3길 17-2,-,직거래,-,-,연립
122,경상남도 창원시 마산회원구 석전동,221-17,0221,0017,성민,67.4900,25.1700,202203,21,"9,000",4,-,-,1992,석전동17길 52,-,중개거래,경남 창원마산회원구,-,연립
123,경상남도 창원시 마산회원구 석전동,225-21,0225,0021,무진드림빌딩,38.6900,10.3990,202203,16,"4,500",5,-,-,2002,석전동17길 3,-,직거래,-,-,다세대
124,경상남도 창원시 마산회원구 구암동,275-3,0275,0003,대광빌라,74.3500,41.3500,202203,16,"11,500",2,-,-,1991,구암북9길 39,-,중개거래,경남 창원의창구,-,연립다세대
125,경상남도 창원시 마산회원구 회성동,470-6,0470,0006,82회성국민주택,42.6800,39.4333,202203,10,"4,500",1,-,-,1982,회성동8길 18,-,직거래,-,-,연립
126,경상남도 창원시 마산회원구 합성동,134-7,0134,0007,(134-7),25.8300,13.6700,202203,08,"2,800",2,-,-,2003,합성옛길 319,-,중개거래,경남 창원마산회원구,-,다세대
127,경상남도 창원시 마산회원구 구암동,1339-3,1339,0003,경상B,49.5200,31.3000,202203,08,"5,000",2,-,-,1983,구암북12길 94,-,중개거래,경남 창원의창구,-,연립
128,경상남도 창원시 마산회원구 석전동,164-8,0164,0008,청운주택,65.5800,42.3100,202203,08,"6,000",4,-,-,1993,석전북7길 38,-,직거래,-,-,다세대
129,경상남도 창원시 마산회원구 내서읍 삼계리,751-4,0751,0004,"T.S휴먼빌라트B,C동",84.6900,100.2500,202203,07,"23,800",4,-,-,2016,삼계로 127-19,-,중개거래,경남 창원마산회원구,-,연립
130,경상남도 창원시 마산회원구 내서읍 신감리,1381-1,1381,0001,정도빌,57.2435,88.5000,202203,02,"8,471",1,-,-,2015,광려로 88-24,-,직거래,-,-,다세대
131,경상남도 창원시 마산회원구 회원동,645-14,0645,0014,78화란주택17동,66.0700,55.4750,202203,02,"8,400",1,-,-,1978,회원서4길 20-2,-,직거래,-,-,연립
132,경상남도 창원시 마산회원구 내서읍 용담리,720,0720,0000,혜건빌라,60.7600,124.5000,202203,02,"2,600",3,-,-,2010,함마대로 2502-118,-,직거래,-,-,다세대
133,경상남도 창원시 마산회원구 내서읍 삼계리,326-1,0326,0001,라임하우스(326-1),59.8427,59.5700,202203,01,"9,300",2,-,-,2013,광려로 72,-,중개거래,경남 창원마산회원구,-,연립
134,경상남도 창원시 마산회원구 회원동,647-3,0647,0003,진달래,49.5000,61.0629,202202,19,"4,500",2,-,-,1984,회원서10길 13,-,중개거래,경남 창원마산회원구,-,연립
135,경상남도 창원시 마산회원구 구암동,268-8,0268,0008,대지,48.6000,47.9170,202202,18,"6,300",2,-,-,1983,구암북11길 3,-,중개거래,경남 창원의창구,-,연립
136,경상남도 창원시 마산회원구 구암동,278-5,0278,0005,유성,47.5400,38.9300,202202,10,"6,700",2,-,-,1981,구암북2길 18,-,중개거래,경남 창원마산회원구,-,연립
137,경상남도 창원시 마산회원구 석전동,170-3,0170,0003,대우(170-3),62.1000,36.7700,202202,10,"7,400",3,-,-,1983,석전북7길 29,-,중개거래,경남 창원마산합포구 경남 창원마산회원구,-,연립
138,경상남도 창원시 마산회원구 내서읍 삼계리,341-6,0341,0006,삼계위드필타운하우스5단지,74.2430,108.3240,202202,08,"16,500",4,-,-,2015,광려로 78-115,-,중개거래,경남 창원마산회원구,-,연립
139,경상남도 창원시 마산회원구 내서읍 삼계리,326-5,0326,0005,라임하우스(326-5),59.9600,76.8125,202202,08,"11,000",3,-,-,2013,광려로 76-16,-,직거래,-,-,다세대
140,경상남도 창원시 마산회원구 합성동,67-12,0067,0012,성산,39.6700,35.7000,202202,07,"6,450",2,-,-,1980,합포성지길 42,-,중개거래,경남 창원마산회원구,-,연립
141,경상남도 창원시 마산회원구 내서읍 삼계리,341-6,0341,0006,삼계위드필타운하우스5단지,74.2430,108.3240,202202,03,"14,400",4,-,-,2015,광려로 78-115,-,직거래,-,-,연립
142,경상남도 창원시 마산회원구 회성동,442-28,0442,0028,삼성주택,48.2600,40.3000,202202,03,"5,800",3,-,-,1982,회성남5길 20,-,직거래,-,-,연립
143,경상남도 창원시 마산회원구 회원동,643-7,0643,0007,무학AB,38.2800,38.6840,202201,26,"4,000",1,-,-,1981,회원남33길 37,-,중개거래,경남 창원마산회원구,-,연립
144,경상남도 창원시 마산회원구 구암동,12-5,0012,0005,세화,34.7100,27.7400,202201,20,"6,200",2,-,-,1981,구암서3길 76,-,직거래,-,-,연립
145,경상남도 창원시 마산회원구 회원동,641-32,0641,0032,78화란주택53동,39.6700,48.4750,202201,20,"6,100",1,-,-,1979,회원서2길 7-29,-,직거래,-,-,연립
146,경상남도 창원시 마산회원구 양덕동,158-7,0158,0007,타코마,54.9400,42.0250,202201,19,"10,000",2,-,-,1976,양덕로 65,-,중개거래,경남 창원마산회원구,-,연립
147,경상남도 창원시 마산회원구 양덕동,158-7,0158,0007,타코마,54.9400,42.0250,202201,19,"10,000",2,-,-,1976,양덕로 65,20220301,중개거래,경남 창원마산회원구,-,연립
148,경상남도 창원시 마산회원구 내서읍 원계리,520,0520,0000,유강빌리지2,63.5378,87.2500,202201,17,"12,700",2,-,-,2015,원계증산길 43,-,중개거래,경남 창원마산회원구,-,다세대
149,경상남도 창원시 마산회원구 회성동,442-19,0442,0019,신신,49.1400,46.5571,202201,13,"5,500",1,-,-,1983,회성남5길 14,-,직거래,-,-,연립
150,경상남도 창원시 마산회원구 합성동,156-28,0156,0028,정한,63.3100,34.6300,202201,08,"5,000",3,-,-,1990,합성동2길 37,-,중개거래,경남 창원마산회원구,-,연립
151,경상남도 창원시 마산회원구 석전동,279-2,0279,0002,봉선,49.5000,39.2920,202201,06,"6,000",2,-,-,1982,석전서8길 97,-,직거래,-,-,다세대
152,경상남도 창원시 마산회원구 내서읍 삼계리,326-1,0326,0001,라임하우스(326-1),59.9600,59.6900,202201,04,"9,400",3,-,-,2013,광려로 72,-,중개거래,경남 창원마산회원구,-,연립
153,경상남도 창원시 마산회원구 구암동,27-4,0027,0004,새한,37.7500,36.4000,202201,04,"7,500",1,-,-,1980,구암남6길 20,-,중개거래,경남 창원마산회원구,-,연립
154,경상남도 창원시 마산회원구 회원동,647-7,0647,0007,청송주택,54.0900,41.7048,202201,03,"4,200",2,-,-,1985,무학로 555,-,중개거래,경남 창원마산회원구,-,연립
